% Model,2D-warm-up simulation.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 12 2024, 16:00"
% Table,Table Line average wall - Line Average 1
% Time (s),Temperature (K)
0,78.0259812250814
10,78.27495463286336
20,78.87847309718894
30,79.58053193188333
40,80.36139206379012
50,81.15604892393226
60,81.9617873050103
70,82.76752568608836
80,83.56674864455253
90,84.36147812944012
100,85.15620761432767
110,85.92865003357267
120,86.68795233841092
130,87.44725464324917
140,88.20655694808742
150,88.96585925292568
160,89.72516155776394
170,90.46366643733505
180,91.19341100355003
190,91.92315556976502
200,92.65290013598002
210,93.382644702195
220,94.11238926840998
230,94.80914060722381
240,95.49648535654462
250,96.18383010586538
260,96.8711748551862
270,97.55851960450698
280,98.24586435382778
290,98.93320910314858
300,99.62055385246937
310,100.30789860179017
320,100.99524335111094
330,101.68258810043173
340,102.36993284975252
350,103.02480015335827
360,103.67711730511476
370,104.32943445687124
380,104.98175160862775
390,105.63406876038425
400,106.28638591214074
410,106.93870306389721
420,107.59102021565374
430,108.24333736741022
440,108.89565451916671
450,109.5479716709232
460,110.197911045912
470,110.81904274043583
480,111.44017443495964
490,112.06130612948346
500,112.68243782400731
510,113.30356951853113
520,113.92470121305495
530,114.54583290757878
540,115.1669646021026
550,115.78809629662642
560,116.40922799115026
570,117.03035968567409
580,117.64896995004598
590,118.25777451126322
600,118.86472558326695
610,119.46982316605715
620,120.07306725963385
630,120.67445786399703
640,121.2739949791467
650,121.87167860508283
660,122.46750874180546
670,123.06148538931458
680,123.6536085476102
690,124.24387821669225
700,124.83229439656083
710,125.41885708721588
720,126.00356628865742
730,126.58642200088545
740,127.16742422389996
750,127.74657295770096
760,128.32386820228842
770,128.8993099576624
780,129.47289822382285
790,130.0446330007698
800,130.6145142885032
810,131.1825420870231
820,131.74728019477138
830,132.30868446231239
840,132.86800870079924
850,133.42525291023196
860,133.98041709061044
870,134.53350124193486
880,135.08450536420509
890,135.63342945742116
900,136.18027352158305
